int(self),nb_people,self.times_found,self.times_found_walking,self.times_found_driving,self.times_found_resting
0,5,1,1,0,0
1,5,0,0,0,0
2,5,0,0,0,0
3,5,0,0,0,0
4,5,0,0,0,0
5,5,0,0,0,0
6,5,0,0,0,0
7,5,0,0,0,0
8,5,1,1,0,0
9,5,0,0,0,0
10,5,2,2,0,0
11,5,0,0,0,0
12,5,1,0,0,1
13,5,1,1,0,0
14,5,0,0,0,0
15,5,0,0,0,0
16,5,0,0,0,0
17,5,0,0,0,0
18,5,0,0,0,0
19,5,0,0,0,0
20,5,0,0,0,0
21,5,0,0,0,0
22,5,0,0,0,0
23,5,0,0,0,0
24,5,0,0,0,0
25,5,1,1,0,0
26,5,0,0,0,0
27,5,0,0,0,0
28,5,0,0,0,0
29,5,0,0,0,0
30,5,0,0,0,0
31,5,0,0,0,0
32,5,0,0,0,0
33,5,0,0,0,0
34,5,0,0,0,0
35,5,1,0,0,1
36,5,0,0,0,0
37,5,0,0,0,0
38,5,0,0,0,0
39,5,0,0,0,0
40,5,0,0,0,0
41,5,0,0,0,0
42,5,0,0,0,0
43,5,0,0,0,0
44,5,0,0,0,0
45,5,0,0,0,0
46,5,0,0,0,0
47,5,0,0,0,0
48,5,0,0,0,0
49,5,0,0,0,0
50,5,0,0,0,0
51,5,1,1,0,0
52,5,0,0,0,0
53,5,0,0,0,0
54,5,2,1,0,1
55,5,0,0,0,0
56,5,0,0,0,0
57,5,0,0,0,0
58,5,0,0,0,0
59,5,0,0,0,0
60,5,0,0,0,0
61,5,0,0,0,0
62,5,0,0,0,0
63,5,0,0,0,0
64,5,0,0,0,0
65,5,0,0,0,0
66,5,0,0,0,0
67,5,0,0,0,0
68,5,0,0,0,0
69,5,0,0,0,0
70,5,1,1,0,0
71,5,0,0,0,0
72,5,0,0,0,0
73,5,0,0,0,0
74,5,0,0,0,0
75,5,0,0,0,0
76,5,0,0,0,0
77,5,0,0,0,0
78,5,0,0,0,0
79,5,0,0,0,0
80,5,0,0,0,0
81,5,0,0,0,0
82,5,0,0,0,0
83,5,0,0,0,0
84,5,0,0,0,0
85,5,0,0,0,0
86,5,0,0,0,0
87,5,0,0,0,0
88,5,0,0,0,0
89,5,1,1,0,0
90,5,0,0,0,0
91,5,2,2,0,0
92,5,0,0,0,0
93,5,0,0,0,0
94,5,0,0,0,0
95,5,0,0,0,0
96,5,0,0,0,0
97,5,0,0,0,0
98,5,0,0,0,0
99,5,0,0,0,0
100,10,0,0,0,0
101,10,1,1,0,0
102,10,0,0,0,0
103,10,0,0,0,0
104,10,0,0,0,0
105,10,0,0,0,0
106,10,1,1,0,0
107,10,0,0,0,0
108,10,0,0,0,0
109,10,0,0,0,0
110,10,1,1,0,0
111,10,1,1,0,0
112,10,0,0,0,0
113,10,0,0,0,0
114,10,2,2,0,0
115,10,1,1,0,0
116,10,0,0,0,0
117,10,0,0,0,0
118,10,2,0,0,2
119,10,1,1,0,0
120,10,0,0,0,0
121,10,0,0,0,0
122,10,0,0,0,0
123,10,0,0,0,0
124,10,0,0,0,0
125,10,0,0,0,0
126,10,0,0,0,0
127,10,0,0,0,0
128,10,0,0,0,0
129,10,0,0,0,0
130,10,0,0,0,0
131,10,0,0,0,0
132,10,0,0,0,0
133,10,1,1,0,0
134,10,0,0,0,0
135,10,0,0,0,0
136,10,0,0,0,0
137,10,0,0,0,0
138,10,1,0,0,1
139,10,0,0,0,0
140,10,0,0,0,0
141,10,0,0,0,0
142,10,0,0,0,0
143,10,0,0,0,0
144,10,0,0,0,0
145,10,0,0,0,0
146,10,0,0,0,0
147,10,0,0,0,0
148,10,0,0,0,0
149,10,0,0,0,0
150,10,1,1,0,0
151,10,0,0,0,0
152,10,0,0,0,0
153,10,0,0,0,0
154,10,0,0,0,0
155,10,0,0,0,0
156,10,0,0,0,0
157,10,0,0,0,0
158,10,0,0,0,0
159,10,0,0,0,0
160,10,0,0,0,0
161,10,0,0,0,0
162,10,0,0,0,0
163,10,0,0,0,0
164,10,0,0,0,0
165,10,0,0,0,0
166,10,0,0,0,0
167,10,1,1,0,0
168,10,0,0,0,0
169,10,0,0,0,0
170,10,0,0,0,0
171,10,0,0,0,0
172,10,0,0,0,0
173,10,0,0,0,0
174,10,0,0,0,0
175,10,1,1,0,0
176,10,0,0,0,0
177,10,0,0,0,0
178,10,1,1,0,0
179,10,1,1,0,0
180,10,0,0,0,0
181,10,0,0,0,0
182,10,0,0,0,0
183,10,0,0,0,0
184,10,0,0,0,0
185,10,1,1,0,0
186,10,0,0,0,0
187,10,0,0,0,0
188,10,0,0,0,0
189,10,0,0,0,0
190,10,1,1,0,0
191,10,2,2,0,0
192,10,1,0,0,1
193,10,0,0,0,0
194,10,2,1,0,1
195,10,0,0,0,0
196,10,1,1,0,0
197,10,0,0,0,0
198,10,0,0,0,0
199,10,1,1,0,0
200,15,7,5,1,1
201,15,2,1,0,1
202,15,0,0,0,0
203,15,0,0,0,0
204,15,0,0,0,0
205,15,1,1,0,0
206,15,1,1,0,0
207,15,0,0,0,0
208,15,1,1,0,0
209,15,0,0,0,0
210,15,0,0,0,0
211,15,0,0,0,0
212,15,0,0,0,0
213,15,0,0,0,0
214,15,0,0,0,0
215,15,1,1,0,0
216,15,1,0,1,0
217,15,1,1,0,0
218,15,1,1,0,0
219,15,0,0,0,0
220,15,0,0,0,0
221,15,1,0,1,0
222,15,1,1,0,0
223,15,0,0,0,0
224,15,1,1,0,0
225,15,0,0,0,0
226,15,0,0,0,0
227,15,0,0,0,0
228,15,0,0,0,0
229,15,1,0,0,1
230,15,0,0,0,0
231,15,1,1,0,0
232,15,0,0,0,0
233,15,0,0,0,0
234,15,1,0,0,1
235,15,0,0,0,0
236,15,0,0,0,0
237,15,1,1,0,0
238,15,0,0,0,0
239,15,0,0,0,0
240,15,1,1,0,0
241,15,0,0,0,0
242,15,1,1,0,0
243,15,0,0,0,0
244,15,1,0,1,0
245,15,2,2,0,0
246,15,1,1,0,0
247,15,0,0,0,0
248,15,0,0,0,0
249,15,1,1,0,0
250,15,1,1,0,0
251,15,1,1,0,0
252,15,0,0,0,0
253,15,0,0,0,0
254,15,2,2,0,0
255,15,1,1,0,0
256,15,0,0,0,0
257,15,0,0,0,0
258,15,0,0,0,0
259,15,0,0,0,0
260,15,2,2,0,0
261,15,0,0,0,0
262,15,0,0,0,0
263,15,0,0,0,0
264,15,3,2,0,1
265,15,0,0,0,0
266,15,0,0,0,0
267,15,0,0,0,0
268,15,0,0,0,0
269,15,0,0,0,0
270,15,0,0,0,0
271,15,1,1,0,0
272,15,0,0,0,0
273,15,0,0,0,0
274,15,1,1,0,0
275,15,0,0,0,0
276,15,0,0,0,0
277,15,0,0,0,0
278,15,0,0,0,0
